date,vendor,amount,category
"2024-01-02,Alpha","Supplies,5000,Office",Supplies
"2024-01-05,Alpha","Supplies,5000,Office",Supplies
"2024-01-08,Alpha","Supplies,5000,Office",Supplies
"2024-01-10,Beta","Consulting,98000,Consulting"
"2024-01-12,Alpha","Supplies,5000,Office",Supplies
"2024-01-15,Gamma","Tech,120000,IT",Services
"2024-01-18,Alpha","Supplies,5000,Office",Supplies
"2024-01-20,Beta","Consulting,97000,Consulting"
"2024-01-22,Alpha","Supplies,5000,Office",Supplies
"2024-01-25,Delta","Maintenance,300,Maintenance"
"2024-01-28,Alpha","Supplies,5000,Office",Supplies
"2024-02-01,Alpha","Supplies,5000,Office",Supplies
"2024-02-03,Epsilon","Logistics,4500,Transport"
"2024-02-05,Beta","Consulting,99000,Consulting"
"2024-02-07,Alpha","Supplies,5000,Office",Supplies
"2024-02-10,Alpha","Supplies,5000,Office",Supplies
"2024-02-12,Gamma","Tech,115000,IT",Services
"2024-02-15,Alpha","Supplies,5000,Office",Supplies
"2024-02-18,Zeta","Services,280,Maintenance"
"2024-02-20,Alpha","Supplies,5000,Office",Supplies
"2024-02-22,Beta","Consulting,97000,Consulting"
"2024-02-25,Alpha","Supplies,5000,Office",Supplies
"2024-02-27,Theta","Solutions,1500,Training"
"2024-02-28,Alpha","Supplies,5000,Office",Supplies
