id,date,vendor,amount,category,flagged,risk_score,notes
e0d72286-8952-4daa-9a89-6b66429db658,2023-01-01,Staples,313.47,Travel,False,0.1,
39d9c17c-1b7a-4043-82a8-1c8c45ff493b,2023-01-01,Google,371.07,Travel,False,0.1,
a32f96e9-c9a1-4700-be0b-a450312a6fc4,2023-01-01,Slack,378.34,Software,False,0.1,
06cdbdb7-f988-4d8f-8e99-4ddd48dcfe21,2023-01-01,AWS,122.94,Travel,False,0.1,
ac55a3af-d67f-48b5-bc64-a9c5d1954831,2023-01-01,Uber,1297.65,Software,False,0.1,
93f0df69-67ce-4aee-92bb-91f13ba6f200,2023-01-01,Uber,176.43,Office,False,0.1,
ce49f650-d9ff-421c-b4f1-3230ce218c4c,2023-01-01,K.R. Services,4000.0,Services,True,0.86,
569ded02-5358-4121-9d06-71b67ce01cd0,2023-01-01,North Star Consulting,7500.0,Services,True,0.99,
782772fd-19b7-4ce1-84e3-caf45870fa28,2023-01-01,Apex Solutions Group,9990.0,Services,True,0.88,
275cabe5-ebe8-48cf-9a40-e51ac4143cfc,2023-01-01,AWS,295.75,Office,False,0.1,
1a003b27-ee83-4c75-8bec-1bb997cbc7d7,2023-01-01,AWS,111.99,Travel,False,0.1,
84d019c6-94a4-4597-a267-1902165f603f,2023-01-01,AWS,103.81,Software,False,0.1,
c410ff6e-29a1-48d2-81b2-74a590905614,2023-01-01,WeWork,102.9,Software,False,0.1,
f89b24ba-9ee8-47fe-a9dd-db9361839cc1,2023-01-01,North Star Consulting,9000.0,Services,True,0.84,
21664eb6-20c9-439a-a4d5-e0ffde5794f3,2023-01-01,Uber,1330.61,Office,False,0.1,
0bdea044-a4ab-4ea2-bfb9-d2e299a9a326,2023-01-01,AWS,279.51,Travel,False,0.1,
0949dbf5-cb30-453d-bdbf-0822c8e32d0a,2023-01-01,AWS,271.08,Office,False,0.1,
748b3d83-8ee5-46f8-a16d-cbad32f8d3cb,2023-01-01,Strategic Ventures LLC,7500.0,Services,True,0.84,
b7f81ad6-bdd5-405f-8a56-a8f8cbc4a1c2,2023-01-01,North Star Consulting,7979.0,Services,True,0.83,
1aee45d5-2249-4a37-89ba-6e5ee16945a0,2023-01-01,Staples,253.56,Software,False,0.1,
7c91a519-8d6e-48c6-827e-d25c3b96a18e,2023-01-01,Apex Solutions Group,2500.0,Services,True,0.9,
ffa0023e-2e14-4f5b-8adb-bc225b78ce43,2023-01-01,Uber,79.28,Travel,False,0.1,
553b68bd-421d-41a8-a919-5c628941c77f,2023-01-01,AWS,29.58,Office,False,0.1,
95c696c3-d01b-4dcc-bd7d-64e41e3fc279,2023-01-01,Family Holdings,9835.0,Services,True,0.97,
8c6f53ee-d34a-457d-8651-a88667f1c9ad,2023-01-02,Strategic Ventures LLC,9900.0,Services,True,0.88,
fac76ce0-44b3-44d8-b542-ab7356b8af77,2023-01-02,WeWork,129.82,Software,False,0.1,
49cf75da-f638-4a0a-9660-f3dec4e7f0e7,2023-01-02,AWS,51.79,Office,False,0.1,
e4f91df4-e547-47af-898b-5fb00515fa9a,2023-01-02,WeWork,130.53,Office,False,0.1,
99c3f164-0e7a-4c28-a519-f0720180de44,2023-01-02,North Star Consulting,4000.0,Services,True,0.93,
795f253e-ce44-43dd-94ce-0a896478372b,2023-01-02,WeWork,888.64,Travel,False,0.1,
a132c605-b0be-42d1-8b29-7b178983880d,2023-01-02,North Star Consulting,2500.0,Services,True,0.84,
8bfd2f8b-7626-409f-af6f-3bc60d99e359,2023-01-02,Strategic Ventures LLC,8307.0,Services,True,0.95,
f0fe2522-284d-456c-8bc3-7edb544f853e,2023-01-02,AWS,330.02,Software,False,0.1,
b3db6f36-366b-4cc2-8261-c83e1b9aabfb,2023-01-02,Uber,519.17,Travel,False,0.1,
e3b7e72b-4b17-4781-aa7b-067d38222c47,2023-01-02,WeWork,119.97,Travel,False,0.1,
4f4b8d50-bdd3-44e6-b3cf-3d90a6e7da46,2023-01-02,AWS,474.13,Office,False,0.1,
64f04afa-e1f7-4ad6-88c9-ea5eb9c73198,2023-01-02,WeWork,1400.75,Software,False,0.1,
97b38971-55ab-4d03-9779-8d7fd445558e,2023-01-02,WeWork,1711.38,Office,False,0.1,
dcbf1992-ca75-4389-a102-539a08809060,2023-01-02,Family Holdings,9900.0,Services,True,0.91,
968e5c7f-20ae-4167-854e-848012226cd5,2023-01-02,Staples,40.24,Office,False,0.1,
00da03db-f887-4ac3-934b-fc371546fea9,2023-01-02,K.R. Services,9886.0,Services,True,0.86,
f7d70099-fe7b-4250-84a3-79836edcd75c,2023-01-02,Uber,1390.04,Office,False,0.1,
60d431c9-46a7-40d3-baa5-ca8479561796,2023-01-02,WeWork,259.32,Office,False,0.1,
a30ab23e-65e0-473a-a312-a8a4dff301ce,2023-01-02,WeWork,417.79,Office,False,0.1,
90d38648-4df0-476a-a947-82b47ce390d4,2023-01-02,North Star Consulting,9512.0,Services,True,0.94,
4c0771b8-a68c-40cd-aeb6-292030ef80b7,2023-01-02,Uber,1425.86,Office,False,0.1,
e97b2aba-b84d-4468-bf5e-67af24c5e927,2023-01-02,Google,106.4,Office,False,0.1,
23c4ecea-605d-4f46-af4f-9621d36a9cac,2023-01-02,AWS,318.28,Software,False,0.1,
1121f7e2-54ad-4ff4-abb9-c0aaf5046cf5,2023-01-02,AWS,996.26,Software,False,0.1,
29d62723-f1ae-4278-8808-7d26f03c7417,2023-01-02,Google,421.3,Software,False,0.1,
635e39b5-6c37-4e62-b838-f1e22123b60c,2023-01-02,WeWork,110.88,Software,False,0.1,
0a1073f9-5324-4607-af6d-fe724b92947b,2023-01-02,Uber,57.37,Software,False,0.1,
24727b8a-3630-4f9f-a2f6-49d302525b9a,2023-01-02,Staples,147.05,Travel,False,0.1,
7d328cfc-a630-4c44-844f-4ad946263fc2,2023-01-02,Apex Solutions Group,9900.0,Services,True,0.93,
7563fe57-74f8-4455-b121-7229e8945e2b,2023-01-02,Uber,279.99,Office,False,0.1,
892f45d5-f758-4485-a707-16dcc7f7b0f7,2023-01-02,Uber,458.62,Travel,False,0.1,
e855db7e-50c9-456c-8306-e9c9c229cefd,2023-01-02,Slack,36.63,Software,False,0.1,
1e77d342-fa2e-4ca3-a15e-abc00985baeb,2023-01-02,WeWork,502.84,Travel,False,0.1,
0bbefaac-624b-4f08-93f0-536b5c684938,2023-01-02,North Star Consulting,2500.0,Services,True,0.85,
0f95be29-d21b-4f97-9c04-2b66dd3a39e5,2023-01-02,Staples,440.94,Office,False,0.1,
